name	LROB1	CCIR1	MVUL	EAND	PECH	CMAT	NNAJ	LEYZ1	LIOC1	COCO1	WPIG	HNIP	HMED1	SBEN	TMUC1	CTEL	NROB1	LLON	PMAX	SNUD1	HCAR1	OXIA1	AVIR1	SYGR1	HINV1	PMEY1	AUJA1	PHRE1	PVOL1	ECRY	HMAN	TSTR1	PELO1	OFUS	MPIT1	MMIN1	RAND1
HOG00046839_64	-	-	-	-	-	CMAT.FUN_002913, CMAT.FUN_011730, CMAT.FUN_037145	-	-	-	COCO1.DN2293_c7_g1_i2.p4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
HOG00046529_64	-	-	-	-	-	-	-	-	-	COCO1.DN106412_c0_g1_i4.p1, COCO1.DN29409_c1_g2_i1.p1, COCO1.DN47834_c0_g3_i2.p1, COCO1.DN81186_c0_g1_i1.p1	-	-	HMED1.DN30179_c0_g2_i1.p1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
HOG00070568_68	-	CCIR1.DN49721_c0_g1_i1.p1	-	-	PECH.PE_Scaf8483_7.6	-	-	LEYZ1.DN20848_c0_g1_i1.p1	LIOC1.DN12567_c0_g2_i1.p1	-	-	-	-	SBEN.Sbene_G09976	-	-	NROB1.DN21348_c0_g3_i1.p1	-	-	-	-	-	-	-	-	-	-	PHRE1.DN19862_c0_g3_i1.p1	-	-	-	-	-	-	-	-	-
HOG00074536_69	-	CCIR1.DN10371_c0_g1_i4.p1	-	-	PECH.PE_Scaf8429_0.1, PECH.PE_Scaf6558_9.5	-	-	LEYZ1.DN1409_c0_g1_i20.p1	LIOC1.DN5539_c0_g1_i3.p1	COCO1.DN9428_c0_g1_i1.p1	-	-	-	-	TMUC1.DN13177_c0_g1_i10.p1	CTEL.gene-CAPTEDRAFT_228333	NROB1.DN11138_c0_g1_i1.p1	-	-	SNUD1.DN25985_c1_g1_i1.p1	HCAR1.DN9240_c1_g1_i1.p1	-	-	SYGR1.DN17915_c0_g1_i2.p1, SYGR1.DN67080_c0_g1_i7.p1	HINV1.DN18486_c0_g1_i2.p1	-	-	-	-	-	-	-	-	-	-	-	RAND1.DN2640_c0_g6_i2.p1, RAND1.DN12996_c0_g1_i9.p1
HOG00078392_69	LROB1.DN20120_c0_g1_i2.p1	CCIR1.DN966_c0_g2_i6.p1, CCIR1.DN966_c0_g3_i1.p1	-	-	-	-	-	-	-	COCO1.DN1309_c0_g1_i4.p1	-	-	HMED1.DN16087_c0_g1_i3.p1	-	TMUC1.DN5207_c0_g1_i4.p1, TMUC1.DN72038_c0_g1_i4.p1	CTEL.gene-CAPTEDRAFT_208493	NROB1.DN5248_c0_g1_i17.p1, NROB1.DN8703_c0_g2_i1.p1	-	-	-	HCAR1.DN160003_c0_g1_i1.p1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
HOG00056230_67	LROB1.DN6108_c0_g3_i3.p1, LROB1.DN33323_c0_g1_i2.p1, LROB1.DN66311_c0_g1_i1.p1, LROB1.DN6108_c0_g4_i3.p1, LROB1.DN29273_c0_g1_i1.p1	CCIR1.DN33071_c1_g1_i3.p1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	NROB1.DN13053_c0_g1_i1.p1, NROB1.DN12547_c0_g1_i1.p1	-	-	-	-	-	-	-	-	-	-	-	PVOL1.DN6536_c0_g1_i13.p1, PVOL1.DN16789_c0_g1_i3.p1	-	-	-	-	-	-	-	-
HOG00077751_69	LROB1.DN58858_c0_g1_i1.p1	CCIR1.DN55099_c0_g1_i1.p1, CCIR1.DN88054_c0_g1_i1.p1	-	-	PECH.PE_Scaf11897_1.28	-	-	-	LIOC1.DN19129_c0_g2_i1.p1	COCO1.DN14437_c0_g1_i1.p2	-	-	-	-	-	CTEL.gene-CAPTEDRAFT_216536, CTEL.gene-CAPTEDRAFT_117355, CTEL.gene-CAPTEDRAFT_58044, CTEL.gene-CAPTEDRAFT_207328, CTEL.gene-CAPTEDRAFT_98250, CTEL.gene-CAPTEDRAFT_91831, CTEL.gene-CAPTEDRAFT_85408	NROB1.DN40889_c0_g2_i1.p1	-	-	-	HCAR1.DN88038_c0_g1_i1.p1, HCAR1.DN31590_c1_g1_i1.p1	-	-	SYGR1.DN50223_c0_g1_i1.p1, SYGR1.DN129533_c0_g1_i1.p1	-	PMEY1.DN9053_c1_g1_i1.p1	-	-	-	-	-	-	-	-	-	-	RAND1.DN23575_c0_g1_i1.p1
HOG00092601_71	-	CCIR1.DN18554_c0_g2_i1.p1, CCIR1.DN33954_c0_g1_i10.p1	-	-	-	-	-	-	-	COCO1.DN2013_c0_g4_i1.p1	-	-	HMED1.DN45272_c0_g1_i1.p1	-	-	-	-	-	-	SNUD1.DN35376_c0_g1_i1.p1	-	-	AVIR1.DN5486_c0_g2_i1.p1, AVIR1.DN32600_c0_g1_i1.p1	SYGR1.DN17338_c0_g1_i1.p1, SYGR1.DN72658_c1_g1_i1.p1, SYGR1.DN84292_c0_g3_i1.p1	-	-	-	-	-	-	-	-	-	OFUS.gene-OFUS_LOCUS15239, OFUS.gene-OFUS_LOCUS6524, OFUS.gene-OFUS_LOCUS25251	-	MMIN1.DN32793_c0_g1_i1.p1, MMIN1.DN33128_c0_g1_i2.p1, MMIN1.DN2427_c0_g1_i6.p1, MMIN1.DN75274_c0_g1_i1.p1	RAND1.DN8705_c0_g11_i1.p1, RAND1.DN8705_c0_g1_i3.p1
HOG00068728_68	-	CCIR1.DN87341_c0_g1_i1.p1	-	-	-	-	-	-	-	COCO1.DN26012_c0_g2_i1.p1, COCO1.DN26012_c0_g1_i1.p1	-	-	-	-	-	-	NROB1.DN21325_c0_g1_i3.p1	-	-	-	-	-	-	SYGR1.DN28983_c2_g1_i1.p1, SYGR1.DN45314_c0_g1_i1.p1	-	-	-	-	-	-	-	-	PELO1.DN14438_c0_g2_i1.p1	-	-	-	-
HOG00044368_64	-	-	-	-	-	-	-	-	-	COCO1.DN17604_c2_g3_i2.p1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	PMEY1.DN12938_c0_g1_i1.p1	-	-	-	-	-	-	-	-	-	-	RAND1.DN25118_c0_g2_i1.p1, RAND1.DN43159_c0_g1_i1.p1, RAND1.DN24235_c0_g4_i1.p1
