alignment	site	nseq	naa	multinomial_pval	aagtr_pval	reduced_loglk	full_loglk	tag
HOG51924_alig	1	21	1	1	1	0.000000	0.000000	Test
HOG51924_alig	2	21	1	1	1	0.000000	0.000000	Test
HOG51924_alig	3	21	1	1	1	0.000000	0.000000	Test
HOG51924_alig	4	21	2	0.639699	0.261237	-3.964544	-3.333450	Test
HOG51924_alig	5	21	2	0.272425	0.124867	-6.408192	-5.230596	Test
HOG51924_alig	6	21	3	0.826993	0.446835	-12.307641	-11.502075	Test
HOG51924_alig	7	21	6	0.30449	0.374754	-23.791073	-21.116425	Test
HOG51924_alig	8	21	1	1	1	0.000000	0.000000	Test
HOG51924_alig	9	21	4	0.612426	0.420645	-21.463331	-20.054635	Test
HOG51924_alig	10	21	5	0.734226	0.619816	-23.389507	-22.069683	Test
HOG51924_alig	11	21	3	0.826993	0.372779	-12.961623	-11.974854	Test
HOG51924_alig	12	21	2	0.809841	0.511456	-6.588758	-6.373214	Test
HOG51924_alig	13	21	7	0.680347	0.602124	-34.599092	-32.322006	Test
HOG51924_alig	14	21	1	1	1	0.000000	0.000000	Test
HOG51924_alig	15	21	4	0.826171	0.347175	-16.096609	-14.444927	Test
HOG51924_alig	16	21	6	0.846911	0.726025	-29.903808	-28.488322	Test
HOG51924_alig	17	21	3	0.826993	0.596757	-12.511982	-11.995737	Test
HOG51924_alig	18	21	2	0.639699	0.261237	-3.964544	-3.333450	Test
HOG51924_alig	19	21	4	0.0102999	0.0185698	-10.096834	-5.097049	Test
HOG51924_alig	20	21	4	0.203872	0.14966	-21.108535	-18.447367	Test
HOG51924_alig	21	21	2	0.902419	0.638096	-3.961482	-3.850862	Test
HOG51924_alig	22	21	1	1	1	0.000000	0.000000	Test
HOG51924_alig	23	21	6	0.655425	0.49637	-26.195834	-24.006833	Test
HOG51924_alig	24	21	3	0.125656	0.246098	-9.007337	-7.605314	Test
HOG51924_alig	25	21	4	0.139651	0.297349	-17.633401	-15.790076	Test
HOG51924_alig	26	21	1	1	1	0.000000	0.000000	Test
HOG51924_alig	27	21	7	0.849694	0.794307	-28.285855	-26.728457	Test
HOG51924_alig	28	21	4	0.378163	0.15831	-20.951607	-18.355932	Test
HOG51924_alig	29	21	3	0.220667	0.14631	-16.372926	-14.450898	Test
HOG51924_alig	30	21	4	0.304877	0.145898	-18.226390	-15.535618	Test
HOG51924_alig	31	21	3	0.146411	0.0729792	-8.086958	-5.469377	Test
HOG51924_alig	32	21	1	1	1	0.000000	0.000000	Test
HOG51924_alig	33	21	8	0.235742	0.316998	-31.436278	-27.346329	Test
HOG51924_alig	34	21	3	0.936893	0.56489	-11.509932	-10.938808	Test
HOG51924_alig	35	21	5	0.615531	0.406288	-22.376032	-20.377074	Test
HOG51924_alig	36	21	3	0.631298	0.164645	-9.053649	-7.249684	Test
HOG51924_alig	37	21	7	0.680347	0.512486	-34.582850	-31.959109	Test
HOG51924_alig	38	21	2	0.809841	0.50869	-6.604230	-6.385850	Test
HOG51924_alig	39	21	2	0.639699	0.262414	-3.964661	-3.336672	Test
